time	count
7073780.00	1.00
7073796.00	0.00
7073847.00	1.00
7074251.00	0.00
7074310.00	1.00
7074326.00	0.00
7074387.00	1.00
7074399.00	0.00
7074467.00	1.00
7074480.00	0.00
7074535.00	1.00
7074547.00	0.00
7074598.00	1.00
7074609.00	0.00
7074661.00	1.00
7074672.00	0.00
7074720.00	1.00
7074732.00	0.00
7074779.00	1.00
7074790.00	0.00
7074838.00	1.00
7074849.00	0.00
7074896.00	1.00
7074907.00	0.00
7074962.00	1.00
7074973.00	0.00
7075020.00	1.00
7075031.00	0.00
7075079.00	1.00
7075090.00	0.00
7075139.00	1.00
7075150.00	0.00
7075197.00	1.00
7075209.00	0.00
7075258.00	1.00
7075274.00	0.00
7075324.00	1.00
7075736.00	0.00
7075804.00	1.00
7075820.00	0.00
7075872.00	1.00
7075884.00	0.00
7075934.00	1.00
7075946.00	0.00
7075994.00	1.00
7076006.00	0.00
7076054.00	1.00
7076066.00	0.00
7076114.00	1.00
7076125.00	0.00
7076174.00	1.00
7076185.00	0.00
7076234.00	1.00
7076245.00	0.00
7076293.00	1.00
7076305.00	0.00
7076353.00	1.00
7076364.00	0.00
7076425.00	1.00
7076453.00	0.00
7076507.00	1.00
7076518.00	0.00
7076567.00	1.00
7076578.00	0.00
7076628.00	1.00
7076640.00	0.00
7076689.00	1.00
7076701.00	0.00
7076751.00	1.00
7076767.00	0.00
7076818.00	1.00
7077233.00	0.00
7077302.00	1.00
7077318.00	0.00
7077374.00	1.00
7077387.00	0.00
7077443.00	1.00
7077456.00	0.00
7077508.00	1.00
7077519.00	0.00
7077569.00	1.00
7077581.00	0.00
7077640.00	1.00
7077651.00	0.00
7077700.00	1.00
7077712.00	0.00
7077759.00	1.00
7077771.00	0.00
7077818.00	1.00
7077829.00	0.00
7077877.00	1.00
7077888.00	0.00
7077936.00	1.00
7077948.00	0.00
7077995.00	1.00
7078007.00	0.00
7078053.00	1.00
7078065.00	0.00
7078113.00	1.00
7078125.00	0.00
7078172.00	1.00
7078184.00	0.00
7078233.00	1.00
7078249.00	0.00
7078306.00	1.00
7078728.00	0.00
7078789.00	1.00
7078805.00	0.00
7078857.00	1.00
7078869.00	0.00
7078918.00	1.00
7078930.00	0.00
7078979.00	1.00
7078990.00	0.00
7079038.00	1.00
7079049.00	0.00
7079098.00	1.00
7079110.00	0.00
7079162.00	1.00
7079174.00	0.00
7079222.00	1.00
7079234.00	0.00
7079281.00	1.00
7079293.00	0.00
7079340.00	1.00
7079351.00	0.00
7079410.00	1.00
7079422.00	0.00
7079472.00	1.00
7079483.00	0.00
7079532.00	1.00
7079543.00	0.00
7079591.00	1.00
7079602.00	0.00
7079649.00	1.00
7079661.00	0.00
7079716.00	1.00
7079732.00	0.00
7079784.00	1.00
7080197.00	0.00
7080259.00	1.00
7080275.00	0.00
7080328.00	1.00
7080340.00	0.00
7080399.00	1.00
7080416.00	0.00
7080467.00	1.00
7080479.00	0.00
7080527.00	1.00
7080538.00	0.00
7080587.00	1.00
7080598.00	0.00
7080647.00	1.00
7080659.00	0.00
7080709.00	1.00
7080720.00	0.00
7080769.00	1.00
7080779.00	0.00
7080827.00	1.00
7080838.00	0.00
7080885.00	1.00
7080896.00	0.00
7080949.00	1.00
7080960.00	0.00
7081008.00	1.00
7081019.00	0.00
7081067.00	1.00
7081078.00	0.00
7081128.00	1.00
7081139.00	0.00
7081189.00	1.00
7081206.00	0.00
7081257.00	1.00
7081670.00	0.00
7081739.00	1.00
7081756.00	0.00
7081808.00	1.00
7081821.00	0.00
7081869.00	1.00
7081881.00	0.00
7081929.00	1.00
7081940.00	0.00
7081988.00	1.00
7082000.00	0.00
7082047.00	1.00
7082059.00	0.00
7082106.00	1.00
7082117.00	0.00
7082165.00	1.00
7082176.00	0.00
7082225.00	1.00
7082237.00	0.00
7082285.00	1.00
7082297.00	0.00
7082346.00	1.00
7082357.00	0.00
7082423.00	1.00
7082434.00	0.00
7082483.00	1.00
7082495.00	0.00
7082543.00	1.00
7082554.00	0.00
7082601.00	1.00
7082613.00	0.00
7082670.00	1.00
7082686.00	0.00
7082737.00	1.00
7083144.00	0.00
7083208.00	1.00
7083223.00	0.00
7083275.00	1.00
7083287.00	0.00
7083343.00	1.00
7083354.00	0.00
7083402.00	1.00
7083418.00	0.00
7083474.00	1.00
7083485.00	0.00
7083533.00	1.00
7083545.00	0.00
7083592.00	1.00
7083604.00	0.00
7083651.00	1.00
7083663.00	0.00
7083711.00	1.00
7083722.00	0.00
7083771.00	1.00
7083782.00	0.00
7083830.00	1.00
7083841.00	0.00
7083888.00	1.00
7083899.00	0.00
7083947.00	1.00
7083958.00	0.00
7084007.00	1.00
7084018.00	0.00
7084066.00	1.00
7084077.00	0.00
7084126.00	1.00
7084142.00	0.00
7084193.00	1.00
7084610.00	0.00
7084670.00	1.00
7084686.00	0.00
7084737.00	1.00
7084749.00	0.00
7084799.00	1.00
7084810.00	0.00
7084859.00	1.00
7084870.00	0.00
7084917.00	1.00
7084929.00	0.00
7084976.00	1.00
7084988.00	0.00
7085035.00	1.00
7085046.00	0.00
7085094.00	1.00
7085106.00	0.00
7085155.00	1.00
7085166.00	0.00
7085214.00	1.00
7085225.00	0.00
7085274.00	1.00
7085285.00	0.00
7085334.00	1.00
7085346.00	0.00
7085395.00	1.00
7085411.00	0.00
