time	count
5625792.00	0.00
5625846.00	0.25
5625851.00	0.50
5625861.00	0.00
5625913.00	0.25
5625922.00	0.00
5625983.00	0.25
5625997.00	0.00
5626035.00	0.25
5626038.00	0.00
5626109.00	0.25
5626123.00	0.00
5626160.00	0.25
5626163.00	0.00
5626243.00	0.25
5626256.00	0.00
5626294.00	0.25
5626296.00	0.00
5626376.00	0.25
5626389.00	0.00
5626432.00	0.25
5626435.00	0.00
5626515.00	0.25
5626529.00	0.00
5626567.00	0.25
5626574.00	0.00
5626652.00	0.25
5626665.00	0.00
5626703.00	0.25
5626705.00	0.00
5626785.00	0.25
5626798.00	0.00
5626835.00	0.25
5626838.00	0.00
5626912.00	0.25
5626925.00	0.00
5626962.00	0.25
5626965.00	0.00
5627082.00	0.25
5627139.00	0.00
5627204.00	0.25
5627247.00	0.00
5627278.00	0.25
5627286.00	0.00
5627316.00	0.25
5627331.00	0.00
5627370.00	0.25
5627371.00	0.50
5627373.00	0.25
5627419.00	0.00
5627466.00	0.25
5627480.00	0.00
5627518.00	0.25
5627521.00	0.00
5627611.00	0.25
5627624.00	0.00
5627662.00	0.25
5627668.00	0.00
5627744.00	0.25
5627757.00	0.00
5627795.00	0.25
5627798.00	0.00
5627874.00	0.25
5627887.00	0.00
5627924.00	0.25
5627927.00	0.00
5628006.00	0.25
5628019.00	0.00
5628057.00	0.25
5628059.00	0.00
5628139.00	0.25
5628152.00	0.00
5628189.00	0.25
5628192.00	0.00
5628275.00	0.25
5628288.00	0.00
5628335.00	0.25
5628341.00	0.00
5628416.00	0.25
5628430.00	0.00
5628469.00	0.25
5628478.00	0.00
5628551.00	0.25
5628565.00	0.00
5628602.00	0.25
5628605.00	0.00
5628678.00	0.25
5628691.00	0.00
5628728.00	0.25
5628731.00	0.00
5628809.00	0.25
5628822.00	0.00
5628859.00	0.25
5628862.00	0.00
5628942.00	0.25
5628956.00	0.00
5629001.00	0.25
5629008.00	0.00
5629075.00	0.25
5629088.00	0.00
5629125.00	0.25
5629127.00	0.00
5629208.00	0.25
5629221.00	0.00
5629258.00	0.25
5629261.00	0.00
5629339.00	0.25
5629353.00	0.00
5629390.00	0.25
5629393.00	0.00
5629492.00	0.25
5629508.00	0.00
5629550.00	0.25
5629553.00	0.00
5629619.00	0.25
5629634.00	0.00
5629671.00	0.25
5629674.00	0.00
5629754.00	0.25
5629768.00	0.00
5629814.00	0.25
5629820.00	0.00
5629887.00	0.25
5629900.00	0.00
5629953.00	0.25
5629958.00	0.00
5630022.00	0.25
5630037.00	0.00
5630076.00	0.25
5630079.00	0.00
5630152.00	0.25
5630165.00	0.00
5630203.00	0.25
5630206.00	0.00
5630308.00	0.25
5630331.00	0.00
5630395.00	0.25
5630408.00	0.00
5630426.00	0.25
5630441.00	0.00
5630493.00	0.25
5630500.00	0.00
5630569.00	0.25
5630583.00	0.00
5630621.00	0.25
5630623.00	0.00
5630702.00	0.25
5630716.00	0.00
5630753.00	0.25
5630756.00	0.00
5630843.00	0.25
5630856.00	0.00
5630893.00	0.25
5630900.00	0.00
5630976.00	0.25
5630989.00	0.00
5631026.00	0.25
5631029.00	0.00
5631109.00	0.25
5631123.00	0.00
5631160.00	0.25
5631163.00	0.00
5631236.00	0.25
5631250.00	0.00
5631287.00	0.25
5631290.00	0.00
5631368.00	0.25
5631381.00	0.00
5631420.00	0.25
5631423.00	0.00
5631508.00	0.25
5631522.00	0.00
5631560.00	0.25
5631572.00	0.00
5631646.00	0.25
5631659.00	0.00
5631697.00	0.25
5631700.00	0.00
5631782.00	0.25
5631796.00	0.00
5631834.00	0.25
5631836.00	0.00
5631918.00	0.25
5631931.00	0.00
5631968.00	0.25
5631971.00	0.00
5632045.00	0.25
5632058.00	0.00
5632095.00	0.25
5632098.00	0.00
5632207.00	0.25
5632228.00	0.00
5632290.00	0.25
5632298.00	0.00
5632332.00	0.25
5632352.00	0.00
5632408.00	0.25
5632411.00	0.00
5632468.00	0.25
5632484.00	0.00
5632538.00	0.25
5632555.00	0.00
5632604.00	0.25
5632618.00	0.00
5632666.00	0.25
5632671.00	0.00
5632740.00	0.25
5632754.00	0.00
5632791.00	0.25
5632798.00	0.00
5632873.00	0.25
5632886.00	0.00
